Komentar,Kategori
"Kaka tidur yaa, udah pagi, gaboleh capek2",Non-bullying
makan nasi padang aja begini badannya,Non-bullying
yang aku suka dari dia adalah selalu cukur jembut sebelum manggung,Bullying
Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa,Non-bullying
Manusia apa bidadari sih herann deh cantik terus 😌♥️,Non-bullying
@ayu.kinantii isyan skrg berubah ya:( baju nya nakal,Bullying
"Gemesnya isyan kayak tango, berlapis lapis ciaaaa",Non-bullying
"Makin jelek aja anaknya, padahal ibu ayahnya cakep2",Bullying
Kok anaknya kayak udah tua gitu ya mukanya kk tasya,Bullying
Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya,Bullying
Muka nya muka kolot wkwk bukan muka bayi2 lucu gt,Bullying
"Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu",Bullying
Lo sintingnya udah tingkat dewa,Bullying
Sepertinya Lutfi setelah putus dgn salsa seperti orang stress,Bullying
ANAK TOLOL INI MULAI AKTIF YA BUND,Bullying
bisa mati aja ga? gedeg gua liat lu. ANJIM,Bullying
"Woy Lutfi asu , sok asik Lo ANJING !",Bullying
Apasih kontol berantem aja lah ayo bngst @lutfiagizal,Bullying
Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya,Bullying
"Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..",Bullying
Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu,Non-bullying
Setengah iri setengah jadi motivasi ini,Non-bullying
Ancur hidup lu kalau sama dia… Sumpah..,Bullying
serem banget muka lo mel kayak ayam potong merah banget,Bullying
"Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw",Non-bullying
Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss,Non-bullying
Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!,Bullying
Apaan sih gak jelas hidupnya,Bullying
"Sebelum aku Unfoll, aku mau bilang NAJISSSS",Bullying
muka lu sensual tapi norak kenapa dah,Bullying
Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri,Non-bullying
"Kalau pas penempatannya, sebenernya kamu imut banget loh mel.",Non-bullying
Cakep kaga jelek iya HAHAH,Bullying
jari jari kaki kayak jarinya tukang panggul,Bullying
"Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia",Bullying
"Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,",Non-bullying
Ini diedit biar langsing padahal mah klo live bomber badannya,Bullying
Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong,Bullying
Bagusan foto pakai masker drpd gak pakai masker,Non-bullying
@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???,Bullying
Bra nya kedodoran kak make ukuran gede yaa,Bullying
Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi,Non-bullying
"mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan",Bullying
Semoga lancar terus usahanya mel,Non-bullying
Cantik banget kalo meldi muka natural kek gini,Non-bullying
Lu diem aja cantik mel kalo ga banyak gaya serius,Non-bullying
Kaku kek kanebo kering hahaha,Bullying
Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say,Non-bullying
"Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek",Bullying
"Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh",Bullying
Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip,Bullying
Iya lo kamu mirip monyet mel,Bullying
Bagusan pantat panci aing atuh anjir,Bullying
"Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,",Bullying
Kok mbak meldi sekarang tambah cantik ya rahasianya apa..,Non-bullying
Lengannya gempal banget sih HAHA,Bullying
Fix yang komen semua nyela,Non-bullying
"Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya",Non-bullying
"Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener",Bullying
Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi,Bullying
"Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan",Non-bullying
Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi,Non-bullying
