Komentar,Kategori
"""dan ceweknya gak milih milih"" 🔥🔥🔥",Non-bullying
"""ga ada perjanjian soal donasi""
Ya itu uang donasi di kumpulin ditujuin buat ape gus agussss .ngomong sm keluarga tolol ya begini ,berbelit2 gapake otak",Bullying
"""jawab apa adanya lah bpk mu selingkuh, cewenya banyak nangiss bgt 😭🤣""",Non-bullying
"""Secara hukum, tidak boleh menyumbang ke rekening pribadi dalam penggalangan donasi. Penggalangan donasi yang menggunakan rekening pribadi dianggap ilegal karena tidak sesuai dengan aturan. 
Penggalangan donasi harus dilakukan oleh lembaga berbadan hukum yang memiliki izin, seperti lembaga donasi atau amal yang sudah terverifikasi. Rekening yang digunakan dalam penggalangan donasi juga harus atas nama lembaga tersebut. 
Larangan penggunaan rekening pribadi dalam penggalangan donasi bertujuan untuk menjaga transparansi dan akuntabilitas, sehingga bisa menghindari terjadinya penyelewengan donasi.""

titip sendal",Non-bullying
"""TANPA MBAK NOVI KITA NGGAK PUNYA APA APA""  
Alhamdulillah sekarang udah punya rumah ya wa👍😁",Non-bullying
"""ya kalo orang bego juga pasti tau bro"" 🤣🤣🤣",Bullying
"""Ya klo orang buta bisa lihat warna hitam ""😂😂😂😂",Non-bullying
"*DISAKITIN SAMA ORANG YG GAK PANTES NYAKITIN KITA,DISELINGKUHIN SAMA COWOK YG SUPER DUPER JELEK LEBIH NYAKITIN DRPD DISELINGKUHIN SAMA CWOK YG LEBIH GANTENG* PAS NGOMONG ITU ADA YG NGAKAK 😂😂😂😂",Non-bullying
"*Diselingkuhin ama yg jelek, emang lebih sakit, emosi, kesel ""elu jelek item belagu""😂 makanya mending cari yg ganteng sekalian, amit² misal nanti lakinya ga tau diri jadi engga syedih banget*",Bullying
@@Arss-tk8jo kasus yg harusnya gak serumit ini jadi tambah ruwet gara-gara bang FA. Harusnya Agus udah berobat ini sih ya.,Non-bullying
"@@azrulwildni7932 udah paham belum, klo Belum paham belajar sendiri dan pahamin sendiri jngn cuma nonton, gw dukung indo siapapun yg main cuma gw kasih masukan dan kritik , yg gw liat dan tonton ya begitu adanya",Non-bullying
"@@Bedug-gy6if gak foya2 juga sih itu. Darimana dia foya2?

Dia cuman bayarin utang si tetehnya. Yaa penjelasan dia masuk akal

Drpd dia sewa rumah trus gak ada yang jagain dia. Lbh baik dia bayarin utang si tetehnya biar dia bisa tinggal disana dan si tetehnya yg jagain. Ketimbang harus sewa ruko terus bayar orang utk rawat. Ya bagus kalo beneran dirawat. Kalo kgak gimana?

Kadang harus mikir juga pake otak. Apalgi skrg manusia banyak jahatnya.  Babysitter aja bisa nyiksa anak bayi.",Non-bullying
@@blackhorse5020ini salah fans rrq sendiri yang bodoh,Bullying
@@bunnybaracuda mantap bang,Non-bullying
@@Drrew944 mending tepar daripada hrga diri yg jatuh.,Non-bullying
"@@gabentawilson2313  Iyo masih gesit Alex,, ada perlawanan dia 👍😁",Non-bullying
@@indrapradana13 udh ke tebak dari segi drafting beda jauh PH sama ID,Non-bullying
"@@jeckypranata3494 iya keberatan nama raja,jadi gagal juara trus",Non-bullying
@@KymoPutra-qk4vt coba anda renungkan lagi yg goblok itu siapa. Jelas2 Palestina itu mayoritas nya islam.,Non-bullying
@@losblancos292 enakan lu jadi babi panggang.😂,Bullying
@@mohamadsoleh7352 oke jadi relevansinya draft pick khezcute yg kalah lawan srg sama mode acilnya itu apa?,Non-bullying
"@@paisucheng8215 yg mencantumkan itu bang densu, coba dengerin podcast nya.",Non-bullying
"@@Pembasmi_Tololisme setelah nonton sampai habis, kita menilai lagi, jadi pihak tengah saja",Non-bullying
"@@pointhhh tahniah mas, pencapaian terbaik MLBB Indo 2024 - Kalahin SRG🔴🟡💪
“Kita ada peningkatan!”",Non-bullying
"@@ruuferu ya kan persepsi orang beda². klo berbicara soal tau duitnya banyak,ya itu urusan mereka yg ngejalanin. dan percaya deh klo di dlm hubungan uang lebih banyakan perempuan,otomatis cwo sebagai pempimpin akan minder,dan ga akan kuat jalanin klo wanita itu ego tinggi dan menyetir memegang kendali itu cwo. karna cwo itu hakikatnya memimpin cwe,mau itu cwo sejelek apapun klo cwenya merasa tinggi ego dan bisa mengendalikan cwo,percaya cwo ga akan bisa bertahan dan akan berontak walaupun di imingi uang,karna ya itu faktor soal cwo itu memimpin seharusnya.",Non-bullying
"@@wulanfitriana9249 laporan itu kalau belum di berikan ke penerima..
Kalau sudah ya hak hak dia lah..
Karena donasi tidak pakai perjanjian..
Kecuali kalau ada perjanjian..",Non-bullying
@@yussvirgo2322 kwkw iya bang,Non-bullying
@13.galuhalmayra79  denger statement dia juga donk kalo dia pilih Safno karena menurutnya Safno itu jelek... memang dasarnya Dilan ini egonya tinggi disamping cwonya bajingan...,Bullying
@armansuparman7406   ta ta tapi kan kata orng2 king of king .. Kaya nya k beratan nama ya  raja,Non-bullying
"@azrulwildni7932  gw ga bahas siapa yg bawa RRQ sampe mananya, intinya kan gagal2 juga, yg gw bahas dari mode draft pict sampe respect ban , pahamin dan baca maksud nya, okay",Non-bullying
@DanikotokkKk  kalau sama di balikan lagi. Lah siapa elu juga.  Kocak gini kan. Positif rrq bocil skrng banyak. Semua sama lu belain rrq siapa lu juga. Ngakak 🤣,Non-bullying
"@profokatormlbb  namanya juga kingdeym, kalah dikit rombak roster, roster diatur fans 😂😂😂",Non-bullying
@UllaNjsg  iyh bng iya dahlah dukung all in liquid lest go,Non-bullying
0:51 itu apaan ngentod? Chiku chiku bang bang togemon?,Bullying
"07:00 di menit ini gw agak kaget ternyata dilan sebeda itu dengan konten, terlihat jadi cewek independent dan dominan, apa karena keluarganya broken home, dan karena melihat sosok kakanya yg kerja jadi tulang punggung keluarga? apakah ini salah satu faktor?",Non-bullying
